iter	Logloss
0	0.6786079327
1	0.6657269976
2	0.6537460421
3	0.6433223901
4	0.6343567265
5	0.6258362502
6	0.6184159315
7	0.6118861251
8	0.6058206639
9	0.6004722202
10	0.5957210507
11	0.5914001235
12	0.5878355105
13	0.5845976844
14	0.5813747085
15	0.5784813778
16	0.5758010267
17	0.5733767186
18	0.5712176773
19	0.569264615
20	0.5673946015
21	0.5657022096
22	0.5642008796
23	0.5628792848
24	0.5618287578
25	0.5607292651
26	0.5596134953
27	0.5587115544
28	0.5577678173
29	0.5571622859
30	0.5563651207
31	0.5556728455
32	0.5549676847
33	0.5543281226
34	0.5536643852
35	0.553052212
36	0.5526003087
37	0.5521524524
38	0.5518399891
39	0.5514227297
40	0.5510324332
41	0.5506231957
42	0.5503390812
43	0.5500026012
44	0.5496988757
45	0.5493807533
46	0.5491239107
47	0.5489063052
48	0.5486308837
49	0.5483897138
50	0.5481384621
51	0.5479382446
52	0.5477271661
53	0.5475183533
54	0.5473095086
55	0.5471050577
56	0.5469140702
57	0.5467212842
58	0.5465609851
59	0.5463963764
60	0.546196454
61	0.5460169602
62	0.5458629501
63	0.5457146494
64	0.5455604139
65	0.5454671982
66	0.5453576508
67	0.5452372976
68	0.5451422124
69	0.5450183066
70	0.5448961951
71	0.5447166119
72	0.5446120819
73	0.5444936833
74	0.5443945338
75	0.5442530223
76	0.5441368103
77	0.5440296024
78	0.5439522522
79	0.5438414553
80	0.5437039509
81	0.5436150691
82	0.5434969455
83	0.5433962741
84	0.5433101594
85	0.5431970644
86	0.5431086196
87	0.5430024658
88	0.5428885642
89	0.5428010192
90	0.5427418613
91	0.5426596308
92	0.5425862677
93	0.5425360561
94	0.5424489487
95	0.5423619565
96	0.5422668418
97	0.5422160142
98	0.5421206666
99	0.5420363171
100	0.5419391983
101	0.5418786255
102	0.5417600783
103	0.5417013989
104	0.5416322981
105	0.5415731095
106	0.5415163029
107	0.5414362459
108	0.5413769389
109	0.5413198108
110	0.5412500931
111	0.5411676723
112	0.5410864305
113	0.541042997
114	0.5409442213
115	0.5409384024
116	0.5408778326
117	0.5408172473
118	0.5407585259
119	0.5406731596
120	0.5406211274
121	0.5405678399
122	0.5404944556
123	0.5404418418
124	0.5403640947
125	0.5402755396
126	0.5402229619
127	0.5401792044
128	0.5401346514
129	0.5400642924
130	0.5400021296
131	0.5399673719
132	0.5399139042
133	0.5398764555
134	0.5398382343
135	0.5397596624
136	0.5397299966
137	0.5396733602
138	0.5395973732
139	0.5395294378
140	0.5395212886
141	0.539459039
142	0.5394269919
143	0.5393765358
144	0.5393587672
145	0.5392885273
146	0.5392465019
147	0.5391718692
148	0.5391017327
149	0.5390229335
150	0.5389807766
151	0.5389326173
152	0.5388720965
153	0.5388331728
154	0.5387900559
155	0.5387260452
156	0.5386692712
157	0.5386250213
158	0.5385804122
159	0.5385203978
160	0.5384455919
161	0.5384102525
162	0.5383614546
163	0.5383071369
164	0.5382338953
165	0.5382169218
166	0.538132193
167	0.5380677614
168	0.538017139
169	0.5379887133
170	0.5379598904
171	0.5378785002
172	0.5378054637
173	0.5377461318
174	0.5376753399
175	0.5376185242
176	0.5375549538
177	0.5375192986
178	0.5374691294
179	0.5374436999
180	0.5373919702
181	0.537369561
182	0.5373215035
183	0.5372721486
184	0.5372319395
185	0.5371583297
186	0.5371310449
187	0.5370988021
188	0.5370641333
189	0.5370136526
190	0.5369737742
191	0.5369140638
192	0.5368428686
193	0.5368198084
194	0.536774875
195	0.5366905721
196	0.5366079055
197	0.536564911
198	0.536522559
