iter	Passed	Remaining
0	32	31984
1	60	30150
2	88	29417
3	116	28895
4	141	28205
5	172	28627
6	201	28633
7	234	29088
8	260	28637
9	290	28713
10	316	28424
11	343	28265
12	366	27796
13	397	27972
14	427	28040
15	448	27599
16	479	27697
17	502	27405
18	530	27400
19	555	27240
20	586	27353
21	613	27293
22	643	27314
23	672	27349
24	700	27329
25	726	27205
26	753	27141
27	791	27461
28	820	27478
29	847	27407
30	873	27309
31	903	27316
32	940	27568
33	982	27924
34	1012	27918
35	1068	28618
36	1101	28669
37	1131	28652
38	1160	28593
39	1191	28590
40	1228	28723
41	1258	28697
42	1296	28857
43	1330	28913
44	1365	28975
45	1407	29190
46	1447	29359
47	1483	29431
48	1526	29629
49	1562	29695
50	1607	29919
51	1645	29995
52	1676	29960
53	1707	29918
54	1739	29889
55	1770	29840
56	1799	29765
57	1839	29877
58	1870	29825
59	1904	29829
60	1933	29764
61	1968	29787
62	2000	29753
63	2030	29690
64	2060	29641
65	2091	29596
66	2124	29588
67	2153	29514
68	2181	29440
69	2211	29381
70	2244	29364
71	2273	29303
72	2301	29227
73	2332	29189
74	2370	29231
75	2399	29172
76	2432	29155
77	2462	29111
78	2493	29071
79	2524	29026
80	2556	29002
81	2585	28949
82	2615	28895
83	2644	28842
84	2684	28900
85	2712	28827
86	2739	28751
87	2767	28681
88	2794	28601
89	2822	28540
90	2857	28539
91	2890	28532
92	2931	28593
93	2972	28652
94	3006	28641
95	3041	28638
96	3074	28620
97	3108	28608
98	3140	28585
99	3172	28553
100	3202	28501
101	3230	28439
102	3264	28428
103	3296	28398
104	3338	28453
105	3372	28444
106	3408	28444
107	3444	28446
108	3475	28408
109	3515	28445
110	3545	28392
111	3576	28360
112	3606	28308
113	3637	28272
114	3679	28319
115	3698	28186
116	3746	28276
117	3780	28254
118	3815	28244
119	3847	28215
120	3877	28165
121	3907	28123
122	3939	28086
123	3971	28056
124	4003	28027
125	4037	28007
126	4073	27997
127	4102	27948
128	4135	27921
129	4170	27907
130	4212	27945
131	4250	27947
132	4293	27990
133	4329	27981
134	4362	27953
135	4398	27941
136	4430	27909
137	4459	27853
138	4487	27798
139	4521	27777
140	4540	27660
141	4571	27619
142	4602	27585
143	4638	27571
144	4667	27521
145	4695	27468
146	4728	27440
147	4756	27384
148	4788	27349
149	4818	27305
150	4848	27262
151	4880	27228
152	4909	27177
153	4937	27125
154	4965	27070
155	4992	27008
156	5023	26974
157	5053	26929
158	5082	26883
159	5111	26836
160	5145	26813
161	5174	26766
162	5207	26739
163	5237	26695
164	5266	26652
165	5293	26595
166	5323	26554
167	5356	26527
168	5394	26525
169	5431	26518
170	5463	26487
171	5501	26482
172	5534	26456
173	5569	26438
174	5601	26409
175	5634	26381
176	5666	26348
177	5700	26324
178	5734	26303
179	5769	26281
180	5799	26242
181	5829	26201
182	5859	26160
183	5890	26121
184	5918	26072
185	5945	26017
186	5973	25971
187	6007	25948
188	6039	25917
189	6073	25891
190	6114	25899
191	6150	25884
192	6188	25877
193	6221	25849
194	6253	25815
195	6287	25789
196	6319	25759
197	6350	25721
198	6379	25677
199	6409	25638
200	6436	25586
201	6463	25534
202	6492	25488
203	6525	25463
204	6563	25455
205	6602	25448
206	6644	25455
207	6681	25442
208	6714	25414
209	6749	25390
210	6782	25361
211	6811	25318
212	6839	25271
213	6867	25222
214	6898	25189
215	6928	25146
216	6955	25098
217	6984	25053
218	7011	25005
219	7039	24957
220	7066	24907
221	7094	24863
222	7122	24815
223	7151	24774
224	7181	24735
225	7213	24704
226	7254	24702
227	7283	24660
228	7315	24628
229	7352	24614
230	7384	24582
231	7415	24547
232	7443	24504
233	7471	24459
234	7498	24410
235	7534	24392
236	7565	24355
237	7594	24315
238	7626	24282
239	7658	24250
240	7688	24213
241	7719	24178
242	7751	24147
243	7780	24107
244	7812	24076
245	7844	24044
246	7876	24011
247	7904	23969
248	7935	23933
249	7966	23900
250	8002	23878
251	8037	23858
252	8073	23836
253	8104	23803
254	8152	23817
255	8185	23790
256	8220	23764
257	8254	23740
258	8289	23717
259	8315	23667
260	8349	23641
261	8381	23607
262	8407	23560
263	8436	23520
264	8467	23486
265	8496	23444
266	8524	23403
267	8553	23362
268	8580	23318
269	8611	23282
270	8640	23243
271	8668	23201
272	8696	23159
273	8724	23116
274	8751	23072
275	8781	23035
276	8807	22989
277	8835	22947
278	8863	22905
279	8895	22874
280	8928	22846
281	8964	22825
282	8998	22798
283	9032	22772
284	9068	22750
285	9104	22728
286	9138	22703
287	9177	22688
288	9216	22675
289	9250	22646
290	9279	22608
291	9309	22571
292	9343	22546
293	9381	22528
294	9418	22508
295	9461	22504
296	9497	22479
297	9531	22453
298	9565	22426
299	9593	22384
300	9624	22349
301	9656	22319
302	9687	22283
303	9718	22249
304	9744	22205
305	9773	22166
306	9804	22131
307	9833	22094
308	9862	22054
309	9893	22021
310	9921	21980
311	9950	21942
312	9981	21907
313	10011	21872
314	10041	21836
315	10077	21813
316	10104	21770
317	10132	21731
318	10163	21695
319	10194	21662
320	10225	21629
321	10253	21590
322	10282	21552
323	10311	21514
324	10337	21470
325	10365	21430
326	10396	21396
327	10431	21371
328	10462	21338
329	10494	21307
330	10528	21279
331	10560	21249
332	10594	21221
333	10629	21195
334	10661	21164
335	10699	21144
336	10736	21123
337	10765	21084
338	10792	21044
339	10818	21000
340	10847	20963
341	10881	20934
342	10907	20892
343	10935	20853
344	10962	20812
345	10991	20776
346	11021	20739
347	11049	20702
348	11080	20669
349	11115	20642
350	11147	20612
351	11180	20582
352	11213	20552
353	11239	20510
354	11271	20478
355	11305	20452
356	11337	20420
357	11365	20382
358	11395	20346
359	11427	20315
360	11461	20286
361	11490	20251
362	11523	20222
363	11561	20201
364	11595	20172
365	11628	20143
366	11662	20115
367	11696	20087
368	11733	20064
369	11764	20030
370	11795	19997
371	11825	19963
372	11854	19926
373	11882	19889
374	11917	19862
375	11944	19823
376	11973	19785
377	12000	19747
378	12027	19706
379	12057	19672
380	12096	19653
381	12125	19617
382	12157	19585
383	12190	19556
384	12218	19518
385	12248	19482
386	12276	19446
387	12304	19407
388	12332	19370
389	12370	19348
390	12397	19310
391	12429	19277
392	12461	19246
393	12497	19221
394	12526	19185
395	12558	19154
396	12590	19123
397	12617	19085
398	12645	19047
399	12675	19013
400	12702	18974
401	12734	18944
402	12768	18915
403	12797	18879
404	12825	18842
405	12858	18812
406	12895	18788
407	12933	18766
408	12963	18731
409	12997	18703
410	13031	18675
411	13065	18646
412	13096	18614
413	13131	18587
414	13164	18556
415	13192	18520
416	13224	18488
417	13254	18455
418	13287	18425
419	13318	18391
420	13348	18358
421	13379	18325
422	13415	18299
423	13451	18274
424	13496	18259
425	13535	18237
426	13585	18231
427	13620	18203
428	13655	18175
429	13686	18142
430	13721	18114
431	13751	18081
432	13790	18057
433	13827	18032
434	13880	18029
435	13922	18009
436	13954	17977
437	13985	17945
438	14013	17907
439	14042	17872
440	14074	17840
441	14099	17800
442	14129	17765
443	14161	17733
444	14193	17701
445	14221	17665
446	14257	17638
447	14285	17602
448	14313	17565
449	14340	17527
450	14368	17490
451	14396	17453
452	14425	17419
453	14454	17384
454	14484	17349
455	14511	17312
456	14548	17286
457	14582	17257
458	14613	17224
459	14645	17192
460	14674	17157
461	14710	17130
462	14750	17108
463	14779	17072
464	14812	17041
465	14850	17017
466	14881	16984
467	14911	16950
468	14953	16930
469	14981	16894
470	15012	16861
471	15042	16827
472	15073	16794
473	15103	16759
474	15134	16728
475	15166	16695
476	15195	16660
477	15233	16635
478	15270	16609
479	15310	16585
480	15346	16558
481	15385	16534
482	15421	16507
483	15456	16478
484	15490	16448
485	15523	16418
486	15564	16395
487	15615	16383
488	15650	16354
489	15685	16325
490	15729	16306
491	15763	16276
492	15794	16243
493	15823	16207
494	15858	16178
495	15888	16144
496	15916	16108
497	15946	16074
498	15978	16042
499	16006	16006
500	16036	15972
501	16071	15943
502	16105	15913
503	16139	15883
504	16171	15851
505	16203	15818
506	16237	15788
507	16269	15756
508	16302	15726
509	16335	15694
510	16369	15664
511	16406	15637
512	16443	15609
513	16477	15579
514	16509	15548
515	16544	15518
516	16576	15486
517	16612	15458
518	16644	15425
519	16686	15402
520	16718	15370
521	16754	15341
522	16787	15310
523	16823	15282
524	16858	15253
525	16894	15223
526	16930	15195
527	16958	15160
528	16987	15124
529	17021	15094
530	17061	15068
531	17102	15044
532	17152	15028
533	17188	14999
534	17222	14969
535	17264	14945
536	17301	14917
537	17345	14895
538	17385	14869
539	17419	14838
540	17452	14807
541	17484	14774
542	17511	14737
543	17541	14703
544	17573	14671
545	17620	14651
546	17655	14621
547	17693	14593
548	17726	14562
549	17758	14529
550	17791	14497
551	17822	14465
552	17853	14431
553	17889	14402
554	17920	14368
555	17956	14339
556	17985	14304
557	18014	14269
558	18049	14239
559	18077	14203
560	18107	14170
561	18136	14134
562	18164	14098
563	18193	14064
564	18228	14034
565	18257	13999
566	18286	13964
567	18313	13928
568	18341	13892
569	18368	13857
570	18396	13821
571	18421	13784
572	18451	13749
573	18480	13715
574	18508	13679
575	18535	13644
576	18562	13608
577	18591	13573
578	18621	13539
579	18652	13506
580	18680	13471
581	18708	13436
582	18738	13403
583	18776	13374
584	18804	13340
585	18833	13305
586	18859	13268
587	18886	13233
588	18912	13196
589	18938	13160
590	18967	13126
591	18996	13091
592	19024	13057
593	19053	13023
594	19084	12990
595	19112	12955
596	19141	12921
597	19171	12887
598	19197	12851
599	19224	12816
600	19251	12781
601	19282	12748
602	19310	12713
603	19340	12679
604	19370	12646
605	19397	12611
606	19423	12575
607	19449	12539
608	19477	12505
609	19503	12469
610	19544	12442
611	19575	12410
612	19609	12380
613	19643	12349
614	19677	12318
615	19710	12287
616	19746	12257
617	19781	12227
618	19809	12193
619	19842	12161
620	19874	12129
621	19901	12094
622	19933	12062
623	19962	12028
624	19992	11995
625	20022	11962
626	20053	11929
627	20081	11895
628	20109	11861
629	20138	11827
630	20164	11792
631	20193	11758
632	20222	11724
633	20251	11690
634	20278	11656
635	20306	11622
636	20337	11589
637	20365	11555
638	20397	11523
639	20428	11491
640	20461	11459
641	20495	11428
642	20527	11396
643	20558	11364
644	20588	11331
645	20619	11299
646	20649	11266
647	20676	11231
648	20704	11197
649	20733	11164
650	20762	11130
651	20790	11096
652	20820	11063
653	20849	11030
654	20878	10997
655	20908	10963
656	20939	10931
657	20970	10899
658	21000	10866
659	21027	10832
660	21057	10799
661	21092	10769
662	21125	10738
663	21157	10706
664	21186	10673
665	21218	10641
666	21249	10608
667	21276	10574
668	21304	10540
669	21336	10509
670	21366	10476
671	21399	10445
672	21433	10414
673	21458	10378
674	21486	10345
675	21516	10312
676	21551	10282
677	21579	10248
678	21610	10216
679	21637	10182
680	21666	10149
681	21696	10116
682	21722	10082
683	21751	10049
684	21781	10016
685	21812	9983
686	21842	9951
687	21872	9918
688	21902	9886
689	21932	9853
690	21963	9821
691	21994	9789
692	22027	9758
693	22056	9725
694	22091	9694
695	22119	9661
696	22153	9630
697	22185	9598
698	22219	9568
699	22268	9543
700	22297	9510
701	22327	9477
702	22366	9449
703	22399	9418
704	22440	9390
705	22473	9358
706	22506	9327
707	22535	9294
708	22563	9260
709	22594	9228
710	22625	9196
711	22660	9165
712	22690	9133
713	22721	9101
714	22754	9069
715	22801	9044
716	22838	9014
717	22872	8983
718	22902	8950
719	22934	8918
720	22963	8886
721	22987	8851
722	23015	8817
723	23048	8786
724	23079	8754
725	23109	8721
726	23142	8690
727	23174	8658
728	23204	8625
729	23228	8591
730	23258	8559
731	23285	8525
732	23310	8490
733	23337	8457
734	23369	8425
735	23399	8393
736	23429	8360
737	23458	8328
738	23488	8295
739	23522	8264
740	23554	8232
741	23584	8200
742	23617	8169
743	23648	8137
744	23677	8104
745	23708	8072
746	23736	8039
747	23771	8008
748	23796	7974
749	23825	7941
750	23858	7910
751	23891	7878
752	23921	7846
753	23950	7814
754	23980	7781
755	24007	7748
756	24036	7715
757	24068	7684
758	24101	7652
759	24132	7620
760	24167	7590
761	24205	7560
762	24250	7532
763	24298	7505
764	24336	7475
765	24379	7447
766	24414	7416
767	24447	7385
768	24476	7352
769	24508	7320
770	24536	7287
771	24564	7254
772	24610	7227
773	24640	7194
774	24668	7161
775	24695	7128
776	24724	7095
777	24753	7063
778	24781	7030
779	24812	6998
780	24838	6964
781	24866	6931
782	24895	6899
783	24927	6867
784	24967	6838
785	25007	6808
786	25043	6777
787	25077	6746
788	25113	6715
789	25148	6685
790	25181	6653
791	25212	6621
792	25250	6591
793	25283	6559
794	25313	6527
795	25339	6494
796	25369	6461
797	25398	6429
798	25426	6396
799	25458	6364
800	25492	6333
801	25525	6301
802	25561	6271
803	25596	6239
804	25634	6209
805	25665	6177
806	25697	6145
807	25731	6114
808	25762	6082
809	25793	6050
810	25820	6017
811	25849	5984
812	25870	5950
813	25898	5917
814	25926	5885
815	25954	5852
816	25985	5820
817	26015	5788
818	26047	5756
819	26079	5724
820	26111	5692
821	26138	5660
822	26168	5627
823	26195	5595
824	26223	5562
825	26250	5529
826	26278	5497
827	26309	5465
828	26338	5432
829	26367	5400
830	26394	5367
831	26421	5335
832	26451	5303
833	26480	5270
834	26514	5239
835	26542	5206
836	26571	5174
837	26602	5142
838	26633	5110
839	26669	5079
840	26690	5046
841	26718	5013
842	26749	4981
843	26779	4949
844	26812	4918
845	26843	4886
846	26873	4854
847	26898	4821
848	26928	4789
849	26959	4757
850	26990	4725
851	27022	4694
852	27055	4662
853	27085	4630
854	27116	4598
855	27150	4567
856	27181	4535
857	27212	4503
858	27243	4471
859	27274	4440
860	27306	4408
861	27338	4376
862	27369	4344
863	27399	4312
864	27429	4280
865	27466	4250
866	27498	4218
867	27529	4186
868	27560	4154
869	27590	4122
870	27618	4090
871	27646	4058
872	27674	4025
873	27706	3994
874	27736	3962
875	27764	3930
876	27795	3898
877	27825	3866
878	27854	3834
879	27885	3802
880	27914	3770
881	27942	3738
882	27968	3705
883	27996	3673
884	28026	3641
885	28056	3609
886	28087	3578
887	28116	3546
888	28147	3514
889	28175	3482
890	28201	3450
891	28229	3417
892	28258	3385
893	28286	3353
894	28315	3321
895	28344	3289
896	28372	3257
897	28399	3225
898	28430	3194
899	28454	3161
900	28484	3129
901	28512	3097
902	28541	3065
903	28571	3034
904	28599	3002
905	28626	2970
906	28653	2937
907	28678	2905
908	28708	2874
909	28752	2843
910	28782	2811
911	28811	2780
912	28852	2749
913	28878	2717
914	28907	2685
915	28935	2653
916	28964	2621
917	28992	2589
918	29021	2557
919	29051	2526
920	29080	2494
921	29109	2462
922	29142	2431
923	29170	2399
924	29197	2367
925	29225	2335
926	29254	2303
927	29281	2271
928	29309	2240
929	29338	2208
930	29366	2176
931	29393	2144
932	29421	2112
933	29450	2081
934	29480	2049
935	29520	2018
936	29558	1987
937	29589	1955
938	29617	1924
939	29645	1892
940	29675	1860
941	29702	1828
942	29729	1797
943	29757	1765
944	29786	1733
945	29827	1702
